Node	PageRank
365	9.23326e-05
366	0.000102899
367	0.000111926
368	0.000111614
369	9.83434e-05
370	7.30075e-05
371	0.000121137
372	0.000132594
373	8.15504e-05
374	8.56044e-05
375	9.37761e-05
376	9.73036e-05
377	0.000124319
378	0.000100655
379	8.28765e-05
380	9.02379e-05
381	0.000132803
382	0.000107227
383	0.000108798
384	0.000111365
385	9.25203e-05
386	0.000141476
387	0.000116872
388	0.00014657
389	0.000110672
390	0.000108275
391	8.95793e-05
392	8.88837e-05
393	0.000133927
394	0.000147759
395	9.28849e-05
396	0.000102202
397	9.34269e-05
398	2.49313e-05
399	9.49281e-05
400	0.000100011
401	9.415e-05
402	9.35969e-05
403	0.000124913
404	8.75498e-05
405	9.36751e-05
406	5.80945e-05
407	0.000108405
408	0.000109044
409	6.60968e-05
410	6.59495e-05
411	0.000116621
412	7.74626e-05
413	2.49313e-05
414	9.75956e-05
415	6.05743e-05
416	0.000125225
417	0.000133905
418	0.000126885
419	0.000132984
420	0.000117773
421	0.000105934
422	0.00010436
423	6.44979e-05
424	0.00013405
425	0.000116382
426	0.000105407
427	0.000129901
428	8.41264e-05
429	9.56125e-05
430	0.000148966
431	8.94715e-05
432	7.447e-05
433	9.12011e-05
434	9.82714e-05
435	0.000117783
436	0.000107505
437	0.00011382
438	0.000116619
439	0.000139194
440	0.000108878
441	0.000131762
442	0.000120174
443	9.00939e-05
444	0.000102057
445	0.00012
446	8.26423e-05
447	0.00010298
448	0.000134187
449	0.000143252
450	0.00014198
451	0.000133968
452	0.000102749
453	0.000117166
454	0.000101615
455	0.000106567
456	9.58298e-05
457	0.000105336
458	0.000104328
459	0.000103165
460	7.62346e-05
461	7.08174e-05
462	9.21512e-05
463	5.99064e-05
464	0.00010239
465	7.47918e-05
466	0.000140802
467	0.000112167
468	0.00011146
469	0.000131465
470	8.01451e-05
471	8.56487e-05
472	0.000155678
473	0.000114787
474	9.19519e-05
475	9.78125e-05
476	0.000127717
477	9.61214e-05
478	9.0538e-05
479	0.000107463
480	0.000118736
481	5.53132e-05
482	0.000130667
483	0.000110925
484	8.19744e-05
485	0.000120041
486	0.000114747
487	0.000115926
488	7.70251e-05
489	9.89075e-05
490	0.000109455
491	9.06766e-05
492	9.41085e-05
493	9.53452e-05
494	0.000154391
495	7.2635e-05
496	0.000100279
497	0.0001134
498	0.000121156
499	0.000136115
500	7.57459e-05
501	0.000131991
502	7.3578e-05
503	0.000103493
504	7.18252e-05
505	0.000129639
506	2.49313e-05
